name,ra,dec,time,obsid,exposure,processing_status,processing_date,public_date,obs_type
MAXI_J1820+070,18 20 22.15,+07 11 11.4,2018-03-12 13:51:20,1200120101,6496,VALIDATED,2018-03-16 22:42:40,2018-03-26,DDT_TOO
MAXI_J1820+070,18 20 21.82,+07 11 06.8,2018-03-13 14:37:20,1200120102,5023,VALIDATED,2018-03-19 0:05:07,2018-03-27,DDT_TOO
MAXI_J1820+070,18 20 21.96,+07 11 07.4,2018-03-13 23:56:12,1200120103,9508,VALIDATED,2018-03-19 0:14:19,2018-03-28,DDT_TOO
MAXI_J1820+070,18 20 21.86,+07 11 07.2,2018-03-15 0:36:04,1200120104,6235,VALIDATED,2018-03-19 20:18:45,2018-03-29,DDT_TOO
MAXI_J1820+070,18 20 22.01,+07 11 08.6,2018-03-16 4:27:58,1200120105,3061,VALIDATED,2018-03-20 20:26:19,2018-03-30,DDT_TOO
MAXI_J1820+070,18 20 21.86,+07 11 05.3,2018-03-21 9:15:20,1200120106,5437.54204,VALIDATED,2018-03-26 8:45:30,2018-04-04,DDT_TOO
MAXI_J1820+070,18 20 21.91,+07 11 06.7,2018-03-22 0:34:59,1200120107,17859.76112,VALIDATED,2018-04-14 4:00:28,2018-04-30,DDT_TOO
MAXI_J1820+070,18 20 21.98,+07 11 06.6,2018-03-22 23:43:18,1200120108,6764.75746,VALIDATED,2018-03-28 1:49:12,2018-04-06,DDT_TOO
MAXI_J1820+070,18 20 21.94,+07 11 05.5,2018-03-24 0:36:00,1200120109,12975.48074,VALIDATED,2018-04-16 22:23:37,2018-04-30,DDT_TOO
MAXI_J1820+070,18 20 21.89,+07 11 06.5,2018-03-24 23:35:38,1200120110,22132.43531,VALIDATED,2018-04-14 9:06:54,2018-04-30,DDT_TOO
MAXI_J1820+070,18 20 21.91,+07 11 06.6,2018-03-26 0:16:49,1200120111,17819.20307,VALIDATED,2018-04-14 14:04:21,2018-04-30,DDT_TOO
MAXI_J1820+070,18 20 21.74,+07 11 05.6,2018-03-26 23:50:00,1200120112,15183.90618,VALIDATED,2018-04-14 17:03:59,2018-04-30,DDT_TOO
MAXI_J1820+070,18 20 21.77,+07 11 05.8,2018-03-28 6:45:20,1200120113,2020.29921,VALIDATED,2018-04-04 4:42:08,2018-04-11,DDT_TOO
MAXI_J1820+070,18 20 21.86,+07 11 05.8,2018-03-29 0:54:59,1200120114,2969.32673,VALIDATED,2018-04-04 5:03:30,2018-04-12,DDT_TOO
MAXI_J1820+070,18 20 21.86,+07 11 05.9,2018-03-30 9:15:40,1200120115,3152.25009,VALIDATED,2018-04-04 5:28:26,2018-04-13,DDT_TOO
MAXI_J1820+070,18 20 21.86,+07 11 05.8,2018-03-31 8:28:18,1200120116,9926.57193,VALIDATED,2018-04-17 0:47:00,2018-04-30,DDT_TOO
MAXI_J1820+070,18 20 21.91,+07 11 05.6,2018-04-01 7:37:18,1200120117,2755.15144,VALIDATED,2018-04-10 1:09:20,2018-04-15,DDT_TOO
MAXI_J1820+070,18 20 21.94,+07 11 05.7,2018-04-02 0:37:18,1200120118,9276.43457,VALIDATED,2018-04-14 21:47:46,2018-04-30,DDT_TOO
MAXI_J1820+070,18 20 21.89,+07 11 05.8,2018-04-03 7:30:38,1200120119,2943.52931,VALIDATED,2018-04-10 1:53:57,2018-04-17,DDT_TOO
MAXI_J1820+070,18 20 21.98,+07 11 05.2,2018-04-04 0:30:01,1200120120,6486.60787,VALIDATED,2018-04-10 2:13:20,2018-04-18,DDT_TOO
MAXI_J1820+070,18 20 21.91,+07 11 05.7,2018-04-05 7:28:57,1200120121,2983.78615,VALIDATED,2018-04-10 3:00:22,2018-04-19,DDT_TOO
MAXI_J1820+070,18 20 21.91,+07 11 05.7,2018-04-06 6:30:20,1200120122,3272.21903,VALIDATED,2018-04-10 3:18:43,2018-04-20,DDT_TOO
MAXI_J1820+070,18 20 21.96,+07 11 06.0,2018-04-07 7:19:45,1200120123,753.77163,VALIDATED,2018-04-10 3:40:07,2018-04-21,DDT_TOO
MAXI_J1820+070,18 20 22.61,+07 10 59.8,2018-04-09 18:01:40,1200120124,796.7785,VALIDATED,2018-04-19 17:21:25,2018-04-23,DDT_TOO
MAXI_J1820+070,18 20 21.98,+07 11 06.4,2018-04-10 18:48:41,1200120125,1976.27567,VALIDATED,2018-04-24 16:39:51,2018-04-24,DDT_TOO
MAXI_J1820+070,18 20 22.13,+07 11 05.7,2018-04-11 1:07:16,1200120126,1302.75995,VALIDATED,2018-04-24 17:54:07,2018-04-25,DDT_TOO
MAXI_J1820+070,18 20 22.49,+07 11 03.4,2018-04-12 9:38:57,1200120127,2785.60901,VALIDATED,2018-04-24 20:14:32,2018-04-26,DDT_TOO
MAXI_J1820+070,18 20 22.37,+07 11 13.5,2018-04-14 1:50:41,1200120128,216,VALIDATED,2018-04-24 23:05:40,2018-04-28,DDT_TOO
MAXI_J1820+070,18 20 22.37,+07 11 04.0,2018-04-15 0:59:57,1200120129,2018.24181,VALIDATED,2018-04-25 0:52:13,2018-04-29,DDT_TOO
MAXI_J1820+070,18 20 22.15,+07 11 08.3,2018-04-16 1:37:17,1200120130,10618.55159,VALIDATED,2018-04-25 4:20:17,2018-04-30,DDT_TOO
MAXI_J1820+070,18 20 21.98,+07 11 03.8,2018-04-17 0:44:57,1200120131,7340.77045,VALIDATED,2018-04-25 6:32:44,2018-05-01,DDT_TOO
MAXI_J1820+070,18 20 22.10,+07 10 58.9,2018-04-20 2:57:16,1200120132,3775.74775,VALIDATED,2018-05-19 16:12:32,2018-05-04,DDT_TOO
MAXI_J1820+070,18 20 22.10,+07 10 57.3,2018-04-21 0:51:40,1200120133,4729.00225,VALIDATED,2018-04-26 15:27:54,2018-05-05,DDT_TOO
MAXI_J1820+070,18 20 22.13,+07 10 59.8,2018-04-21 23:35:18,1200120134,6963.7764,VALIDATED,2018-04-27 20:42:21,2018-05-06,DDT_TOO
MAXI_J1820+070,18 20 21.98,+07 11 06.2,2018-04-23 0:44:20,1200120135,3692.12172,VALIDATED,2018-04-27 23:01:15,2018-05-07,DDT_TOO
MAXI_J1820+070,18 20 21.84,+07 11 12.4,2018-04-24 10:48:20,1200120136,1699.83389,VALIDATED,2018-04-28 1:09:42,2018-05-08,DDT_TOO
MAXI_J1820+070,18 20 22.06,+07 11 05.1,2018-04-25 0:34:34,1200120137,6938.44332,VALIDATED,2018-05-02 22:28:41,2018-05-09,DDT_TOO
MAXI_J1820+070,18 20 21.96,+07 11 06.4,2018-04-25 23:43:40,1200120138,3551.47227,VALIDATED,2018-05-01 5:12:11,2018-05-10,DDT_TOO
MAXI_J1820+070,18 20 22.06,+07 11 08.4,2018-04-27 8:07:20,1200120139,883.2261,VALIDATED,2018-05-01 7:47:28,2018-05-11,DDT_TOO
MAXI_J1820+070,18 20 21.98,+07 11 06.5,2018-04-29 13:44:20,1200120140,2426.37278,VALIDATED,2018-05-03 2:10:11,2018-05-13,DDT_TOO
MAXI_J1820+070,18 20 21.96,+07 11 07.4,2018-05-01 7:30:26,1200120141,911.9687,VALIDATED,2018-05-06 22:32:10,2018-05-15,DDT_TOO
MAXI_J1820+070,18 20 21.67,+07 11 12.7,2018-05-02 5:28:47,1200120142,5511.69679,VALIDATED,2018-05-06 23:42:14,2018-05-16,DDT_TOO
MAXI_J1820+070,18 20 21.55,+07 11 16.3,2018-05-03 5:50:32,1200120143,4002.63401,VALIDATED,2018-05-07 20:31:57,2018-05-17,DDT_TOO
MAXI_J1820+070,18 20 21.79,+07 11 15.8,2018-05-04 6:33:09,1200120144,5142,VALIDATED,2018-05-09 2:13:27,2018-05-18,DDT_TOO
MAXI_J1820+070,18 20 21.89,+07 11 08.2,2018-05-05 5:45:40,1200120145,6405.78467,VALIDATED,2018-05-09 4:52:25,2018-05-19,DDT_TOO
MAXI_J1820+070,18 20 22.06,+07 11 22.7,2018-05-06 5:25:57,1200120146,5526.52173,VALIDATED,2018-05-09 22:14:24,2018-05-20,DDT_TOO
MAXI_J1820+070,18 20 21.91,+07 11 10.9,2018-05-07 5:36:17,1200120147,5163.04544,VALIDATED,2018-05-11 22:52:22,2018-05-21,DDT_TOO
MAXI_J1820+070,18 20 21.91,+07 11 12.2,2018-05-08 3:19:17,1200120148,4260.10684,VALIDATED,2018-05-14 22:11:22,2018-05-22,DDT_TOO
